"Label","Total"
"TOTAL","1036.43"
"Catch","1.05133e-08"
"Equil catch","0"
"Survey","-42.8699"
"Length comp","349.639"
"Age comp","729.229"
"Recruitment","0.298951"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.128248"
"Parm softbounds","0.00297596"
"Parm devs","0"
"Crash Pen","0"
