"Label","Total"
"TOTAL","910.571"
"Catch","2.07777e-08"
"Equil catch","0"
"Survey","-55.121"
"Length comp","370.792"
"Age comp","581.647"
"Recruitment","13.1288"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.116238"
"Parm softbounds","0.00799647"
"Parm devs","0"
"Crash Pen","0"
