"Label","Total"
"TOTAL","1013.02"
"Catch","1.10791e-08"
"Equil catch","0"
"Survey","-41.5029"
"Length comp","358.311"
"Age comp","695.414"
"Recruitment","0.622822"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.166506"
"Parm softbounds","0.00537994"
"Parm devs","0"
"Crash Pen","0"
