"Year","OFL","ABC","ACL","Catch"
2011,"fill in","fill in","fill in","99.57"
2012,"fill in","fill in","fill in","86.47"
2013,"fill in","fill in","fill in","75.47"
2014,"fill in","fill in","fill in","76.98"
2015,"fill in","fill in","fill in","123.07"
2016,"fill in","fill in","fill in","110.56"
2017,"fill in","fill in","fill in","166.73"
2018,"fill in","fill in","fill in","179.89"
2019,"fill in","fill in","fill in","202.29"
2020,"fill in","fill in","fill in","137.71"
