"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,374.553,206.132706819278,542.973293180722,0.336022,0.192800571775712,0.479243428224288
2012,376.215,205.474109461582,546.955890538418,0.337512,0.192946428475115,0.482077571524885
2013,381.751,208.325546791958,555.176453208042,0.34248,0.196131057245582,0.488828942754418
2014,392.15,214.998459260949,569.301540739051,0.351808,0.20263474914386,0.50098125085614
2015,406.051,224.071479977831,588.030520022169,0.36428,0.211237976234776,0.517322023765224
2016,415.346,228.218830568835,602.473169431165,0.372618,0.215355389790467,0.529880610209533
2017,425.372,233.254762264196,617.489237735804,0.381613,0.220337167535723,0.542888832464277
2018,424.535,227.829094583591,621.240905416409,0.380862,0.215719354590624,0.546004645409376
2019,422.707,221.342260192339,624.071739807661,0.379222,0.210003217491976,0.548440782508024
2020,421.587,214.783360135241,628.390639864759,0.378218,0.204049916438216,0.552386083561784
2021,436.09,221.701299515071,650.478700484929,0.391228,0.210258253422666,0.572197746577334
