"Label","Total"
"TOTAL","1030.7"
"Catch","1.97588e-08"
"Equil catch","0"
"Survey","-56.1244"
"Length comp","420.396"
"Age comp","654.216"
"Recruitment","12.0166"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.185826"
"Parm softbounds","0.00761465"
"Parm devs","0"
"Crash Pen","0"
