"Year","OFL","ABC","ACL","Catch"
2011,"fill in","fill in","fill in","100.12"
2012,"fill in","fill in","fill in","87.08"
2013,"fill in","fill in","fill in","75.84"
2014,"fill in","fill in","fill in","77.22"
2015,"fill in","fill in","fill in","123.53"
2016,"fill in","fill in","fill in","112.08"
2017,"fill in","fill in","fill in","165.56"
2018,"fill in","fill in","fill in","180.49"
2019,"fill in","fill in","fill in","204.44"
2020,"fill in","fill in","fill in","139.01"
